"show","theater","week_date","this_week_gross","potential_gross","avg_ticket_price","top_ticket_price","seats_sold","seats_in_theater","performances","previews","capacity"
"Cinderella","Broadway Theatre",2014-08-31,638177,1631270,74.63,297,8551,1751,8,0,61.04
"Hedwig and the Angry Inch","Belasco Theatre",2014-08-31,635445,787793,96.87,248,6560,1007,7,0,93.06
"If/Then","Richard Rodgers Theatre",2014-08-31,672147,1290160,82.11,223,8186,1311,8,0,78.05
"Jersey Boys","August Wilson Theatre",2014-08-31,834445,1146588,100.14,237,8333,1228,8,0,84.82
"Kinky Boots","Al Hirschfeld Theatre",2014-08-31,1246584,1557095,116.04,349,10743,1424,8,0,94.3
"Lady Day at Emerson's Bar and Grill","Circle in the Square Theatre",2014-08-31,558256,634260,118.4,302,4715,682,7,0,98.76
"Les Misérables","Imperial Theatre",2014-08-31,878730,1219904,93.25,273,9423,1409,8,0,83.6
"Mamma Mia!","Broadhurst Theatre",2014-08-31,697483,1121208,86.89,225,8027,1166,8,0,86.05
"Matilda The Musical","Sam S. Shubert Theatre",2014-08-31,1096864,1274820,96.23,250,11398,1432,8,0,99.49
"Motown The Musical","Lunt-Fontanne Theatre",2014-08-31,1100811,1417100,94.87,250,11603,1507,8,0,96.24
"Once","Bernard B. Jacobs Theatre",2014-08-31,481616,920197,77.29,197.5,6231,1059,8,0,73.55
"Pippin","Music Box Theatre",2014-08-31,608962,1049036,81.76,225,7448,990,8,0,94.04
"Rock of Ages","Brooks Atkinson Theatre",2014-08-31,372667,535999,88.75,197,4199,583,8,0,90.03
"The Book of Mormon","Eugene O'Neill Theatre",2014-08-31,1682942,1452956,192.29,477,8752,1066,8,0,102.63
"The Lion King","Minskoff Theatre",2014-08-31,1932032,1946737,142.03,197.5,13603,1700,8,0,100.02
"The Phantom of the Opera","Majestic Theatre",2014-08-31,980290,1514575,87.06,200,11260,1605,8,0,87.69
"Wicked","Gershwin Theatre",2014-08-31,1708228,1681127,124.44,300,13727,1809,8,0,94.85
"A Gentleman's Guide to Love and Murder","Walter Kerr Theatre",2014-09-07,840503,892240,116.17,327,7235,907,8,0,99.71
"Aladdin","New Amsterdam Theatre",2014-09-07,1299483,1272664,94.6,252.5,13736,1723,8,0,99.65
"Beautiful: The Carole King Musical","Stephen Sondheim Theatre",2014-09-07,1077517,1284432,148.75,275,7244,1026,8,0,88.26
"Cabaret","Studio 54",2014-09-07,623833,984920,112.97,350,5522,893,8,0,77.3
"Chicago","Ambassador Theatre",2014-09-07,559420,994068,78.22,186,7152,1080,8,0,82.78
"Cinderella","Broadway Theatre",2014-09-07,458836,1613840,70.6,297,6499,1751,8,0,46.39
"Hedwig and the Angry Inch","Belasco Theatre",2014-09-07,514411,864762,91.5,248,5622,1007,8,0,69.79
"If/Then","Richard Rodgers Theatre",2014-09-07,589923,1290160,74.84,223,7882,1311,8,0,75.15
"Jersey Boys","August Wilson Theatre",2014-09-07,799476,1146588,98.86,237,8087,1228,8,0,82.32
"Kinky Boots","Al Hirschfeld Theatre",2014-09-07,1172025,1486772,109.28,349,10725,1424,8,0,94.15
"Les Misérables","Imperial Theatre",2014-09-07,788527,1219904,82.3,273,9581,1409,8,0,85
"Mamma Mia!","Broadhurst Theatre",2014-09-07,616314,1121208,79.29,225,7773,1166,8,0,83.33
"Matilda The Musical","Sam S. Shubert Theatre",2014-09-07,803129,1287265,80.12,250,10024,1432,8,0,87.5
"Motown The Musical","Lunt-Fontanne Theatre",2014-09-07,979034,1417100,91.37,250,10715,1507,8,0,88.88
"Once","Bernard B. Jacobs Theatre",2014-09-07,420739,920197,76.33,197.5,5512,1059,8,0,65.06
"Pippin","Music Box Theatre",2014-09-07,492718,1049036,77.35,225,6370,990,8,0,80.43
"Rock of Ages","Brooks Atkinson Theatre",2014-09-07,315675,535999,81.84,197,3857,583,8,0,82.7
"The Book of Mormon","Eugene O'Neill Theatre",2014-09-07,1532948,1390976,175.17,477,8751,1066,8,0,102.62
"The Lion King","Minskoff Theatre",2014-09-07,1677604,1836565,125.23,197.5,13396,1700,8,0,98.5
"The Phantom of the Opera","Majestic Theatre",2014-09-07,918819,1514575,80.73,200,11382,1605,8,0,88.64
"Wicked","Gershwin Theatre",2014-09-07,1340668,1681127,99.26,300,13507,1809,8,0,93.33
"A Gentleman's Guide to Love and Murder","Walter Kerr Theatre",2014-09-14,848790,892240,116.96,327,7257,907,8,0,100.01
"Aladdin","New Amsterdam Theatre",2014-09-14,1312257,1330252,96.38,252.5,13616,1723,8,0,98.78
"Beautiful: The Carole King Musical","Stephen Sondheim Theatre",2014-09-14,1300961,1284432,158.36,275,8215,1026,8,0,100.09
"Cabaret","Studio 54",2014-09-14,643502,1004880,108.22,350,5946,893,8,0,83.23
"Chicago","Ambassador Theatre",2014-09-14,619784,994068,78.71,186,7874,1080,8,0,91.13
"Cinderella","Broadway Theatre",2014-09-14,598979,1613840,70.42,297,8506,1751,8,0,60.72
"Hedwig and the Angry Inch","Belasco Theatre",2014-09-14,524687,864762,91.97,248,5705,1007,8,0,70.82
"If/Then","Richard Rodgers Theatre",2014-09-14,698918,1290160,77.27,223,9045,1311,8,0,86.24
"Jersey Boys","August Wilson Theatre",2014-09-14,848378,1146588,99.1,237,8561,1228,8,0,87.14
"Kinky Boots","Al Hirschfeld Theatre",2014-09-14,1228758,1486772,110.03,349,11168,1424,8,0,98.03
"Lady Day at Emerson's Bar and Grill","Circle in the Square Theatre",2014-09-14,652702,722920,124.44,302,5245,682,8,0,96.13
"Les Misérables","Imperial Theatre",2014-09-14,813225,1219904,81.05,273,10034,1409,8,0,89.02
"Mamma Mia!","Broadhurst Theatre",2014-09-14,659092,1121208,77.71,225,8481,1166,8,0,90.92
"Matilda The Musical","Sam S. Shubert Theatre",2014-09-14,805004,1287265,80.1,250,10050,1432,8,0,87.73
"Motown The Musical","Lunt-Fontanne Theatre",2014-09-14,1026470,1417100,92.41,250,11108,1507,8,0,92.14
"Once","Bernard B. Jacobs Theatre",2014-09-14,467069,920197,76.21,197.5,6129,1059,8,0,72.34
"Pippin","Music Box Theatre",2014-09-14,552516,1049036,77.81,225,7101,990,8,0,89.66
"Rock of Ages","Brooks Atkinson Theatre",2014-09-14,360561,535999,81.37,197,4431,583,8,0,95
"The Book of Mormon","Eugene O'Neill Theatre",2014-09-14,1555886,1390976,178,477,8741,1066,8,0,102.5
"The Lion King","Minskoff Theatre",2014-09-14,1725567,1836678,128.03,197.5,13478,1700,8,0,99.1
"The Phantom of the Opera","Majestic Theatre",2014-09-14,897140,1514575,77.86,200,11522,1605,8,0,89.74
"This Is Our Youth","Cort Theatre",2014-09-14,372793,747786,52.04,223,7164,1061,5,3,84.4
"Wicked","Gershwin Theatre",2014-09-14,1462840,1681127,101.93,300,14352,1809,8,0,99.17
"A Gentleman's Guide to Love and Murder","Walter Kerr Theatre",2014-09-21,915495,892240,125.6,327,7289,907,8,0,100.46
"Aladdin","New Amsterdam Theatre",2014-09-21,1276833,1330252,94.76,252.5,13475,1723,8,0,97.76
"Beautiful: The Carole King Musical","Stephen Sondheim Theatre",2014-09-21,1295796,1284432,156.86,275,8261,1026,8,0,100.65
"Cabaret","Studio 54",2014-09-21,657828,1004880,118.1,350,5570,893,8,0,77.97
"Chicago","Ambassador Theatre",2014-09-21,528307,994068,81.12,186,6513,1080,8,0,75.38
"Cinderella","Broadway Theatre",2014-09-21,466579,1208732,69.31,297,6732,1751,8,0,48.06
"Hedwig and the Angry Inch","Belasco Theatre",2014-09-21,572955,756723,93.51,248,6127,1007,7,0,86.92
"If/Then","Richard Rodgers Theatre",2014-09-21,675958,1290160,75.72,223,8927,1311,8,0,85.12
"Jersey Boys","August Wilson Theatre",2014-09-21,868591,1146588,104.65,237,8300,1228,8,0,84.49
"Kinky Boots","Al Hirschfeld Theatre",2014-09-21,1323036,1486772,119.34,349,11086,1424,8,0,97.31
"Lady Day at Emerson's Bar and Grill","Circle in the Square Theatre",2014-09-21,696922,722920,127.67,302,5459,682,8,0,100.06
"Les Misérables","Imperial Theatre",2014-09-21,706054,1219904,88.14,273,8011,1409,8,0,71.07
"Love Letters","Brooks Atkinson Theatre",2014-09-21,162749,772040,30.1,250,5407,1068,4,4,63.28
"Mamma Mia!","Broadhurst Theatre",2014-09-21,641542,1121208,83.13,225,7717,1166,8,0,82.73
"Matilda The Musical","Sam S. Shubert Theatre",2014-09-21,672778,1287265,86.52,250,7776,1432,8,0,67.88
"Motown The Musical","Lunt-Fontanne Theatre",2014-09-21,1021745,1417100,96.31,250,10609,1507,8,0,88
"Once","Bernard B. Jacobs Theatre",2014-09-21,407108,920197,80.89,197.5,5033,1059,8,0,59.41
"Pippin","Music Box Theatre",2014-09-21,509482,1049036,86.43,225,5895,990,8,0,74.43
"Rock of Ages","Brooks Atkinson Theatre",2014-09-21,337242,535999,86.74,197,3888,583,8,0,83.36
"The Book of Mormon","Eugene O'Neill Theatre",2014-09-21,1602733,1390976,183.13,477,8752,1066,8,0,102.63
"The Lion King","Minskoff Theatre",2014-09-21,1740907,1905479,128.8,197.5,13516,1700,8,0,99.38
"The Phantom of the Opera","Majestic Theatre",2014-09-21,840392,1514575,82.76,200,10155,1605,8,0,79.09
"This Is Our Youth","Cort Theatre",2014-09-21,418041,763836,74.92,223,5580,1061,8,0,65.74
"Wicked","Gershwin Theatre",2014-09-21,1356354,1681127,106.85,300,12694,1809,8,0,87.71
"A Gentleman's Guide to Love and Murder","Walter Kerr Theatre",2014-09-28,807444,892240,113.84,327,7093,907,8,0,97.75
"Aladdin","New Amsterdam Theatre",2014-09-28,1293112,1330252,95.76,252.5,13504,1723,8,0,97.97
"Beautiful: The Carole King Musical","Stephen Sondheim Theatre",2014-09-28,1278681,1284432,154.99,275,8250,1026,8,0,100.51
"Cabaret","Studio 54",2014-09-28,566136,1004880,110.64,350,5117,893,8,0,71.63
"Chicago","Ambassador Theatre",2014-09-28,498324,994068,80.57,186,6185,1080,8,0,71.59
"Cinderella","Broadway Theatre",2014-09-28,568115,1208732,67.33,297,8438,1751,8,0,60.24
"Hedwig and the Angry Inch","Belasco Theatre",2014-09-28,498220,756723,94.52,248,5271,1007,7,0,74.78
"If/Then","Richard Rodgers Theatre",2014-09-28,590185,1290160,69.49,223,8493,1311,8,0,80.98
"Jersey Boys","August Wilson Theatre",2014-09-28,817139,1146588,105.17,237,7770,1228,8,0,79.09
"Kinky Boots","Al Hirschfeld Theatre",2014-09-28,1230190,1486772,116.92,349,10522,1424,8,0,92.36
"Lady Day at Emerson's Bar and Grill","Circle in the Square Theatre",2014-09-28,630847,722920,122.47,302,5151,682,8,0,94.41
"Les Misérables","Imperial Theatre",2014-09-28,665663,1219904,86.79,273,7670,1409,8,0,68.04
"Love Letters","Brooks Atkinson Theatre",2014-09-28,178812,887360,53.22,250,3360,1068,8,0,39.33
"Mamma Mia!","Broadhurst Theatre",2014-09-28,649855,1121208,83.27,225,7804,1166,8,0,83.66
"Matilda The Musical","Sam S. Shubert Theatre",2014-09-28,776248,1287265,88.6,250,8761,1432,8,0,76.48
"Motown The Musical","Lunt-Fontanne Theatre",2014-09-28,972330,1417100,96.62,250,10063,1507,8,0,83.47
"Once","Bernard B. Jacobs Theatre",2014-09-28,355062,920197,72.65,197.5,4887,1059,8,0,57.68
"Pippin","Music Box Theatre",2014-09-28,444549,1049036,77.61,225,5728,990,8,0,72.32
"Rock of Ages","Brooks Atkinson Theatre",2014-09-28,315948,535999,84.93,197,3720,583,8,0,79.76
"The Book of Mormon","Eugene O'Neill Theatre",2014-09-28,1596473,1390976,182.41,477,8752,1066,8,0,102.63
"The Lion King","Minskoff Theatre",2014-09-28,1754196,1919194,130.46,197.5,13446,1700,8,0,98.87
"The Phantom of the Opera","Majestic Theatre",2014-09-28,834859,1514575,83.52,200,9996,1605,8,0,77.85
"This Is Our Youth","Cort Theatre",2014-09-28,395194,768554,76.89,223,5140,1061,8,0,60.56
"Wicked","Gershwin Theatre",2014-09-28,1386090,1681127,107.26,300,12923,1809,8,0,89.3
"You Can't Take It With You","Longacre Theatre",2014-09-28,381328,973384,51.64,250,7384,1073,1,7,86.02
"A Gentleman's Guide to Love and Murder","Walter Kerr Theatre",2014-10-05,849170,892240,120.4,327,7053,907,8,0,97.2
"Aladdin","New Amsterdam Theatre",2014-10-05,1318128,1354360,97.05,252.5,13582,1723,8,0,98.53
"Beautiful: The Carole King Musical","Stephen Sondheim Theatre",2014-10-05,1279354,1284432,154.68,275,8271,1026,8,0,100.77
"Cabaret","Studio 54",2014-10-05,537342,1004880,116.01,350,4632,893,8,0,64.84
"Chicago","Ambassador Theatre",2014-10-05,479306,994068,80.76,186,5935,1080,8,0,68.69
"Cinderella","Broadway Theatre",2014-10-05,487724,1208732,63.29,297,7706,1751,8,0,55.01
"Hedwig and the Angry Inch","Belasco Theatre",2014-10-05,528099,756723,93.65,248,5639,1007,7,0,80
"If/Then","Richard Rodgers Theatre",2014-10-05,456099,1290160,57.4,223,7946,1311,8,0,75.76
"Jersey Boys","August Wilson Theatre",2014-10-05,844166,1146588,102.25,237,8256,1228,8,0,84.04
"Kinky Boots","Al Hirschfeld Theatre",2014-10-05,1157229,1486772,113.24,349,10219,1424,8,0,89.7
"Lady Day at Emerson's Bar and Grill","Circle in the Square Theatre",2014-10-05,762599,722920,134.95,302,5651,682,8,0,103.57
"Les Misérables","Imperial Theatre",2014-10-05,666437,1219904,87.82,273,7589,1409,8,0,67.33
"Love Letters","Brooks Atkinson Theatre",2014-10-05,214065,887360,54.11,250,3956,1068,8,0,46.3
"Mamma Mia!","Broadhurst Theatre",2014-10-05,659381,1121208,83.74,225,7874,1166,8,0,84.41
"Matilda The Musical","Sam S. Shubert Theatre",2014-10-05,713487,1287265,86.96,250,8205,1432,8,0,71.62
"Motown The Musical","Lunt-Fontanne Theatre",2014-10-05,981415,1417100,95.28,250,10300,1507,8,0,85.43
"Once","Bernard B. Jacobs Theatre",2014-10-05,358134,920197,63.76,197.5,5617,1059,8,0,66.3
"Pippin","Music Box Theatre",2014-10-05,402674,1049036,78.22,225,5148,990,8,0,65
"Rock of Ages","Brooks Atkinson Theatre",2014-10-05,332574,564659,85.98,197,3868,583,8,0,82.93
"The Book of Mormon","Eugene O'Neill Theatre",2014-10-05,1611038,1390976,184.35,477,8739,1066,8,0,102.47
"The Country House","Samuel J. Friedman Theatre",2014-10-05,196922,518000,41.26,NA,4773,650,5,3,91.79
"The Curious Incident of the Dog in the Night-Time","Ethel Barrymore Theatre",2014-10-05,501192,768908,70.96,195,7063,1018,1,6,99.12
"The Lion King","Minskoff Theatre",2014-10-05,1853776,1877936,137.77,197.5,13456,1700,8,0,98.94
"The Phantom of the Opera","Majestic Theatre",2014-10-05,818490,1514575,82.22,200,9955,1605,8,0,77.53
"This Is Our Youth","Cort Theatre",2014-10-05,358375,776321,65.49,223,5472,1061,8,0,64.47
"Wicked","Gershwin Theatre",2014-10-05,1406222,1681127,106.25,300,13235,1809,8,0,91.45
"You Can't Take It With You","Longacre Theatre",2014-10-05,571079,986088,81.03,250,7048,1073,8,0,82.11
"A Gentleman's Guide to Love and Murder","Walter Kerr Theatre",2014-10-12,948209,892240,130.14,327,7286,907,8,0,100.41
"Aladdin","New Amsterdam Theatre",2014-10-12,1614428,1443424,117.12,252.5,13785,1723,8,0,100.01
"Beautiful: The Carole King Musical","Stephen Sondheim Theatre",2014-10-12,1411132,1309062,170.9,350,8257,1026,8,0,100.6
"Cabaret","Studio 54",2014-10-12,689019,1004880,113.27,350,6083,893,8,0,85.15
"Chicago","Ambassador Theatre",2014-10-12,590152,994068,86.74,186,6804,1080,8,0,78.75
"Cinderella","Broadway Theatre",2014-10-12,760861,1211862,76.57,297,9937,1751,8,0,70.94
"Hedwig and the Angry Inch","Belasco Theatre",2014-10-12,662552,756723,100.75,248,6576,1007,7,0,93.29
"If/Then","Richard Rodgers Theatre",2014-10-12,741315,1290160,87.36,223,8486,1311,8,0,80.91
"It's Only a Play","Gerald Schoenfeld Theatre",2014-10-12,1173897,1113700,135.09,225,8690,1069,5,3,101.61
"Jersey Boys","August Wilson Theatre",2014-10-12,940451,1208505,106.66,237,8817,1228,8,0,89.75
"Kinky Boots","Al Hirschfeld Theatre",2014-10-12,1376997,1557095,125.2,349,10998,1424,8,0,96.54
"Les Misérables","Imperial Theatre",2014-10-12,814410,1219904,96.86,273,8408,1409,8,0,74.59
"Love Letters","Brooks Atkinson Theatre",2014-10-12,339907,887360,76.18,250,4462,1068,8,0,52.22
"Mamma Mia!","Broadhurst Theatre",2014-10-12,766485,1121208,86.3,225,8882,1166,8,0,95.22
"Matilda The Musical","Sam S. Shubert Theatre",2014-10-12,1092670,1287265,99.68,250,10962,1432,8,0,95.69
"Motown The Musical","Lunt-Fontanne Theatre",2014-10-12,1109204,1417100,99.66,250,11130,1507,8,0,92.32
"Once","Bernard B. Jacobs Theatre",2014-10-12,437660,920197,80.63,197.5,5428,1059,8,0,64.07
"Pippin","Music Box Theatre",2014-10-12,589427,1049036,85.07,225,6929,990,8,0,87.49
"Rock of Ages","Brooks Atkinson Theatre",2014-10-12,373909,564659,89.45,197,4180,583,8,0,89.62
"The Book of Mormon","Eugene O'Neill Theatre",2014-10-12,1739131,1452956,198.71,477,8752,1066,8,0,102.63
"The Country House","Samuel J. Friedman Theatre",2014-10-12,268583,592000,62.86,NA,4273,650,8,0,82.17
"The Curious Incident of the Dog in the Night-Time","Ethel Barrymore Theatre",2014-10-12,769927,956496,97.14,195,7926,1018,8,0,97.32
"The Lion King","Minskoff Theatre",2014-10-12,2050270,1974280,150.71,197.5,13604,1700,8,0,100.03
"The Phantom of the Opera","Majestic Theatre",2014-10-12,975371,1514575,87.97,200,11088,1605,8,0,86.36
"This Is Our Youth","Cort Theatre",2014-10-12,421840,776321,78.44,223,5378,1061,8,0,63.36
"Wicked","Gershwin Theatre",2014-10-12,1806175,1681127,122.74,300,14715,1913,8,0,96.15
"You Can't Take It With You","Longacre Theatre",2014-10-12,671178,986088,89.15,250,7529,1073,8,0,87.71
"A Gentleman's Guide to Love and Murder","Walter Kerr Theatre",2014-10-19,920334,892240,125.75,327,7319,907,8,0,100.87
"Aladdin","New Amsterdam Theatre",2014-10-19,1438023,1346992,104.58,252.5,13750,1723,8,0,99.75
"Beautiful: The Carole King Musical","Stephen Sondheim Theatre",2014-10-19,1308749,1284432,158.23,299,8271,1026,8,0,100.77
"Cabaret","Studio 54",2014-10-19,719254,1004880,115.86,350,6208,893,8,0,86.9
"Chicago","Ambassador Theatre",2014-10-19,574653,994068,81.27,186,7071,1080,8,0,81.84
"Cinderella","Broadway Theatre",2014-10-19,643770,1208732,76.79,297,8384,1751,8,0,59.85
"Hedwig and the Angry Inch","Belasco Theatre",2014-10-19,544166,639854,98.01,248,5552,1007,6,0,91.89
"If/Then","Richard Rodgers Theatre",2014-10-19,627377,1290160,80.56,223,7788,1311,8,0,74.26
"It's Only a Play","Gerald Schoenfeld Theatre",2014-10-19,1375481,1318220,159.02,225,8650,1069,8,0,101.15
"Jersey Boys","August Wilson Theatre",2014-10-19,860751,1146588,104.87,237,8208,1228,8,0,83.55
"Kinky Boots","Al Hirschfeld Theatre",2014-10-19,1363976,1486772,123.73,349,11024,1424,8,0,96.77
"Les Misérables","Imperial Theatre",2014-10-19,790993,1219904,89.67,273,8821,1409,8,0,78.26
"Love Letters","Brooks Atkinson Theatre",2014-10-19,319810,887360,73.12,250,4374,1068,8,0,51.19
"Mamma Mia!","Broadhurst Theatre",2014-10-19,678393,1121208,83.6,225,8115,1166,8,0,87
"Matilda The Musical","Sam S. Shubert Theatre",2014-10-19,941606,1274820,87.06,250,10815,1432,8,0,94.4
"Motown The Musical","Lunt-Fontanne Theatre",2014-10-19,1074895,1417100,99.82,250,10768,1507,8,0,89.32
"On the Town","Lyric Theatre",2014-10-19,696571,1775166,53.26,246.5,13079,1874,4,4,87.24
"Once","Bernard B. Jacobs Theatre",2014-10-19,448800,920197,86.94,197.5,5162,1059,8,0,60.93
"Pippin","Music Box Theatre",2014-10-19,536740,1049036,84.46,225,6355,990,8,0,80.24
"Rock of Ages","Brooks Atkinson Theatre",2014-10-19,369767,564659,87.96,197,4204,583,8,0,90.14
"The Book of Mormon","Eugene O'Neill Theatre",2014-10-19,1651464,1390976,188.7,477,8752,1066,8,0,102.63
"The Country House","Samuel J. Friedman Theatre",2014-10-19,253441,592000,64.44,NA,3933,650,8,0,75.63
"The Curious Incident of the Dog in the Night-Time","Ethel Barrymore Theatre",2014-10-19,848236,956496,107.66,195,7879,1018,8,0,96.75
"The Lion King","Minskoff Theatre",2014-10-19,1895200,1933022,141.29,197.5,13414,1700,8,0,98.63
"The Phantom of the Opera","Majestic Theatre",2014-10-19,935841,1514575,86.31,200,10843,1605,8,0,84.45
"This Is Our Youth","Cort Theatre",2014-10-19,409597,794168,70.67,223,5796,1061,8,0,68.28
"Wicked","Gershwin Theatre",2014-10-19,1680849,1681127,116.4,300,14440,1809,8,0,99.78
"You Can't Take It With You","Longacre Theatre",2014-10-19,680921,986088,90.72,250,7506,1073,8,0,87.44
"A Gentleman's Guide to Love and Murder","Walter Kerr Theatre",2014-10-26,880771,892240,122.93,327,7165,907,8,0,98.75
"Aladdin","New Amsterdam Theatre",2014-10-26,1383638,1330252,101.68,252.5,13608,1723,8,0,98.72
"Beautiful: The Carole King Musical","Stephen Sondheim Theatre",2014-10-26,1316237,1284432,159.14,299,8271,1026,8,0,100.77
"Cabaret","Studio 54",2014-10-26,685294,1004880,115.64,350,5926,893,8,0,82.95
"Chicago","Ambassador Theatre",2014-10-26,538588,994068,80.45,186,6695,1080,8,0,77.49
"Cinderella","Broadway Theatre",2014-10-26,527427,1208732,73.81,297,7146,1751,8,0,51.01
"Disgraced","Lyceum Theatre",2014-10-26,362147,773152,60.46,198,5990,918,5,3,81.56
"Hedwig and the Angry Inch","Belasco Theatre",2014-10-26,600961,743423,97.54,248,6161,1007,7,0,87.4
"If/Then","Richard Rodgers Theatre",2014-10-26,592093,1290160,74.93,223,7902,1311,8,0,75.34
"It's Only a Play","Gerald Schoenfeld Theatre",2014-10-26,1376686,1328888,158.55,225,8683,1069,8,0,101.53
"Jersey Boys","August Wilson Theatre",2014-10-26,826860,1146588,103.46,237,7992,1228,8,0,81.35
"Kinky Boots","Al Hirschfeld Theatre",2014-10-26,1262059,1486772,117.97,349,10698,1424,8,0,93.91
"Les Misérables","Imperial Theatre",2014-10-26,665388,1219904,88.72,273,7500,1409,8,0,66.54
"Love Letters","Brooks Atkinson Theatre",2014-10-26,313629,887360,79.52,250,3944,1068,8,0,46.16
"Mamma Mia!","Broadhurst Theatre",2014-10-26,693671,1121208,84.7,225,8190,1166,8,0,87.8
"Matilda The Musical","Sam S. Shubert Theatre",2014-10-26,820242,1274820,83.93,250,9773,1432,8,0,85.31
"Motown The Musical","Lunt-Fontanne Theatre",2014-10-26,1112901,1417100,97.09,250,11462,1507,8,0,95.07
"On the Town","Lyric Theatre",2014-10-26,837948,1790076,69.9,246.5,11987,1874,8,0,79.96
"Once","Bernard B. Jacobs Theatre",2014-10-26,417186,920197,80.99,197.5,5151,1059,8,0,60.8
"Pippin","Music Box Theatre",2014-10-26,478032,1049036,80.83,225,5914,990,8,0,74.67
"Rock of Ages","Brooks Atkinson Theatre",2014-10-26,364112,564659,88.72,197,4104,583,8,0,87.99
"The Book of Mormon","Eugene O'Neill Theatre",2014-10-26,1610255,1390976,183.95,477,8754,1066,8,0,102.65
"The Country House","Samuel J. Friedman Theatre",2014-10-26,250259,592000,65.67,NA,3811,650,8,0,73.29
"The Curious Incident of the Dog in the Night-Time","Ethel Barrymore Theatre",2014-10-26,871328,956496,108.64,195,8020,1018,8,0,98.48
"The Last Ship","Neil Simon Theatre",2014-10-26,546914,1059505,58.73,225,9312,1322,1,7,88.05
"The Lion King","Minskoff Theatre",2014-10-26,1851135,1946737,137.16,197.5,13496,1700,8,0,99.24
"The Phantom of the Opera","Majestic Theatre",2014-10-26,830933,1514575,84.25,200,9863,1605,8,0,76.81
"This Is Our Youth","Cort Theatre",2014-10-26,367824,794168,73.62,223,4996,1061,8,0,58.86
"Wicked","Gershwin Theatre",2014-10-26,1489079,1681127,112.32,300,13258,1809,8,0,91.61
"You Can't Take It With You","Longacre Theatre",2014-10-26,653711,986088,91.98,250,7107,1073,8,0,82.79
"A Gentleman's Guide to Love and Murder","Walter Kerr Theatre",2014-11-02,757811,892240,107.32,327,7061,907,8,0,97.31
"Aladdin","New Amsterdam Theatre",2014-11-02,1280885,1289404,94.68,252.5,13528,1723,8,0,98.14
"Beautiful: The Carole King Musical","Stephen Sondheim Theatre",2014-11-02,1033975,1284432,131.82,299,7844,1026,8,0,95.57
"Cabaret","Studio 54",2014-11-02,611122,1004880,111.64,350,5474,893,8,0,76.62
"Chicago","Ambassador Theatre",2014-11-02,444182,994068,80.86,186,5493,1080,8,0,63.58
"Cinderella","Broadway Theatre",2014-11-02,501306,1208732,73.75,297,6797,1751,8,0,48.52
"Disgraced","Lyceum Theatre",2014-11-02,408008,777676,73.67,198,5538,918,8,0,75.41
"Hedwig and the Angry Inch","Belasco Theatre",2014-11-02,498001,743423,92,248,5413,1007,7,0,76.79
"If/Then","Richard Rodgers Theatre",2014-11-02,404308,1290160,54.93,223,7361,1311,8,0,70.19
"It's Only a Play","Gerald Schoenfeld Theatre",2014-11-02,1338059,1328888,158.01,347,8468,1069,8,0,99.02
"Jersey Boys","August Wilson Theatre",2014-11-02,675647,1146588,99.62,237,6782,1228,8,0,69.04
"Kinky Boots","Al Hirschfeld Theatre",2014-11-02,1100572,1486772,111.12,349,9904,1424,8,0,86.94
"Les Misérables","Imperial Theatre",2014-11-02,608589,1219904,84.25,273,7224,1409,8,0,64.09
"Love Letters","Brooks Atkinson Theatre",2014-11-02,258377,887360,65.23,250,3961,1068,8,0,46.36
"Mamma Mia!","Broadhurst Theatre",2014-11-02,602891,1121208,83.19,225,7247,1166,8,0,77.69
"Matilda The Musical","Sam S. Shubert Theatre",2014-11-02,760087,1274820,80.51,250,9441,1432,8,0,82.41
"Motown The Musical","Lunt-Fontanne Theatre",2014-11-02,855012,1417100,95.08,250,8993,1507,8,0,74.59
"On the Town","Lyric Theatre",2014-11-02,675371,1790076,77.19,246.5,8749,1874,8,0,58.36
"Once","Bernard B. Jacobs Theatre",2014-11-02,341135,920197,70.54,197.5,4836,1059,8,0,57.08
"Pippin","Music Box Theatre",2014-11-02,377838,1049036,75.18,225,5026,990,8,0,63.46
"Rock of Ages","Brooks Atkinson Theatre",2014-11-02,278848,564659,80.22,197,3476,583,8,0,74.53
"The Book of Mormon","Eugene O'Neill Theatre",2014-11-02,1535238,1390976,175.44,477,8751,1066,8,0,102.62
"The Country House","Samuel J. Friedman Theatre",2014-11-02,217819,592000,61.1,NA,3565,650,8,0,68.56
"The Curious Incident of the Dog in the Night-Time","Ethel Barrymore Theatre",2014-11-02,862004,956496,108.96,195,7911,1018,8,0,97.14
"The Last Ship","Neil Simon Theatre",2014-11-02,495069,1243260,78.17,225,6333,1349,8,0,58.68
"The Lion King","Minskoff Theatre",2014-11-02,1700190,1822963,126.93,197.5,13395,1700,8,0,98.49
"The Phantom of the Opera","Majestic Theatre",2014-11-02,724322,1514575,81.86,200,8848,1605,8,0,68.91
"The Real Thing","American Airlines Theatre",2014-11-02,433827,559356,75.25,NA,5765,740,5,3,97.38
"This Is Our Youth","Cort Theatre",2014-11-02,294214,794168,72.5,223,4058,1061,8,0,47.81
"Wicked","Gershwin Theatre",2014-11-02,1329813,1681127,109.93,300,12097,1809,8,0,83.59
"You Can't Take It With You","Longacre Theatre",2014-11-02,512339,986088,90.58,250,5656,1073,8,0,65.89
